City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,sao joao da barra,-21.6403,-41.0511,82.49,90,28,10.78,BR,1681507241
83,yining,29.0361,114.5636,61.68,91,47,1.54,CN,1681507241
84,manbij,36.5281,37.9549,53.62,71,9,3.22,SY,1681507242
85,mazagao,-0.115,-51.2894,86.05,78,35,5.46,BR,1681507242
86,moshupa,-24.7782,25.4155,66.04,25,3,7.63,BW,1681507242
87,puerto ayora,-0.7393,-90.3518,89.56,89,79,10.0,EC,1681507242
88,mar del plata,-38.0023,-57.5575,60.1,66,0,4.61,AR,1681507242
89,marsh harbour,26.5412,-77.0636,78.06,77,68,11.12,BS,1681507242
90,sault sainte marie,46.5168,-84.3333,70.36,41,0,9.22,CA,1681507190
91,mae ramat,16.984,98.5166,71.17,73,87,0.67,TH,1681507243
92,mount gambier,-37.8333,140.7667,58.24,91,100,11.79,AU,1681507243
93,seoul,37.5683,126.9778,54.97,88,75,3.44,KR,1681507243
94,japura,-0.3167,102.35,73.76,99,85,1.05,ID,1681507243
95,amudat,1.95,34.95,71.11,65,84,6.76,UG,1681507243
96,wasilla,61.5814,-149.4394,41.02,65,0,5.75,US,1681507243
97,weligama,5.9667,80.4167,77.58,86,15,2.24,LK,1681507243
98,ekibastuz,51.6667,75.3667,23.74,95,100,21.5,KZ,1681507243
99,panaba,21.2833,-88.2667,99.32,28,38,12.3,MX,1681507244
100,atuona,-9.8,-139.0333,79.54,72,9,3.51,PF,1681507244
101,pietarsaari,63.65,22.6833,30.99,43,7,6.67,FI,1681507244
102,hobart,-42.8794,147.3294,51.66,87,75,3.44,AU,1681507244
103,cidreira,-30.1811,-50.2056,66.24,74,100,11.07,BR,1681507244
104,codrington,-38.2667,141.9667,61.12,74,100,22.66,AU,1681507244
105,saint-philippe,-21.3585,55.7679,76.59,83,99,8.3,RE,1681507244
106,killin,33.6123,-91.7412,80.69,39,20,8.05,US,1681507244
107,luderitz,-26.6481,15.1594,68.29,46,0,18.21,NA,1681507245
108,kodiak,57.79,-152.4072,38.71,56,20,11.5,US,1681507024
109,weymouth,42.2209,-70.9398,84.92,54,100,17.27,US,1681507010
110,esperance,-33.8667,121.9,56.77,72,98,23.42,AU,1681507245
111,kropotkin,45.4375,40.5756,50.9,64,100,20.09,RU,1681507117
112,mehamn,71.0357,27.8492,31.91,64,0,6.91,NO,1681507245
